book_id	primary	secondary	tertiary
002572503	Non-Fiction	Geography	England
002572504	Non-Fiction	Geography	England
002572505	Non-Fiction	Poetry	English, Separate Works, 19th Century
002572610	Non-Fiction	History	European 18th, 19th Centuries
002572611	Non-Fiction	History	European 18th, 19th Centuries
002572662	Non-Fiction	Voyages & Travels	Great Britain
002573255	Non-Fiction	Topography	North German
002573707	Non-Fiction	History	Ancient Greek
002574259	Non-Fiction	Topography	Indian, Chinese, Japanese
002576186	Non-Fiction	History	Greece & Russia
002576737	Non-Fiction	Plays	
002577548	Non-Fiction	Poetry & Fiction	English
002578512	Non-Fiction	Topography	Indian, Chinese, Japanese
002578805	Fiction	Fiction	English 3 Volume Novels
002578811	Fiction	Fiction	English 3 Volume Novels
002578955	Non-Fiction	Topography	Great Britain & Ireland
002578959	Non-Fiction	Topography	Scotch
002578999	Non-Fiction	Topography	Indian, Chinese, Japanese
002579019	Non-Fiction	Topography	United States of America
002579251	Non-Fiction	Poetry	English, Separate Works, 19th Century
002579337	Non-Fiction	Topography	Scotch
002579338	Non-Fiction	Topography	Scotch
002579426	Non-Fiction	Topography	United States of America
002579486	Non-Fiction	Topography	European
002579498	Non-Fiction	Poetry	English, Separate Works, 19th Century
002580299	Non-Fiction	History	Mexico & South America
002580304	Non-Fiction	History	English 18th, 19th Centuries
002580309	Non-Fiction	Topography	South American
002580322	Non-Fiction	Topography	Indian, Chinese, Japanese
