volume_id	book_id	volume_num	total	path	filesize
000033385_03	000033385	3	3	0000/000033385_03_text.txt	311
000033386_01	000033386	1	1	0000/000033386_01_text.txt	840
000033392_01	000033392	1	2	0000/000033392_01_text.txt	234
000033392_02	000033392	2	2	0000/000033392_02_text.txt	252
000033393_01	000033393	1	1	0000/000033393_01_text.txt	484
000033745_01	000033745	1	2	0000/000033745_01_text.txt	274
000033745_02	000033745	2	2	0000/000033745_02_text.txt	586
000033755_01	000033755	1	1	0000/000033755_01_text.txt	6
000033793_01	000033793	1	1	0000/000033793_01_text.txt	84
000033798_01	000033798	1	1	0000/000033798_01_text.txt	92
000033822_01	000033822	1	3	0000/000033822_01_text.txt	340
000033822_02	000033822	2	3	0000/000033822_02_text.txt	352
000033822_03	000033822	3	3	0000/000033822_03_text.txt	274
000033825_01	000033825	1	1	0000/000033825_01_text.txt	352
000033826_01	000033826	1	1	0000/000033826_01_text.txt	326
000033833_01	000033833	1	1	0000/000033833_01_text.txt	445
000033837_01	000033837	1	1	0000/000033837_01_text.txt	2067
000033838_01	000033838	1	2	0000/000033838_01_text.txt	1049
000033838_02	000033838	2	2	0000/000033838_02_text.txt	1122
000033858_01	000033858	1	1	0000/000033858_01_text.txt	363
000033859_01	000033859	1	1	0000/000033859_01_text.txt	369
000033862_01	000033862	1	1	0000/000033862_01_text.txt	120
000033881_01	000033881	1	1	0000/000033881_01_text.txt	277
000033897_01	000033897	1	1	0000/000033897_01_text.txt	78
000034000_01	000034000	1	1	0000/000034000_01_text.txt	241
000034016_01	000034016	1	1	0000/000034016_01_text.txt	251
000034113_01	000034113	1	3	0000/000034113_01_text.txt	252
000034113_02	000034113	2	3	0000/000034113_02_text.txt	268
000034113_03	000034113	3	3	0000/000034113_03_text.txt	279
000034463_01	000034463	1	3	0000/000034463_01_text.txt	357
000034463_02	000034463	2	3	0000/000034463_02_text.txt	357
000034463_03	000034463	3	3	0000/000034463_03_text.txt	404
000034538_01	000034538	1	1	0000/000034538_01_text.txt	440
000034566_01	000034566	1	1	0000/000034566_01_text.txt	480
000034567_01	000034567	1	1	0000/000034567_01_text.txt	483
000034571_01	000034571	1	1	0000/000034571_01_text.txt	346
000034575_01	000034575	1	1	0000/000034575_01_text.txt	37
000034607_01	000034607	1	1	0000/000034607_01_text.txt	108
000034780_01	000034780	1	1	0000/000034780_01_text.txt	133
000034781_01	000034781	1	2	0000/000034781_01_text.txt	4439
